toponimo_i,link,varon,mujer,totalpobl,hogares,viviendasp,viv_part_h,personasxvivienda,Area_RC,Pje_Total_BP_en_RC,Porcentaje_de_hogares_con_conexion_a_red,%conaccesoredgas,%dehogarescnib,%conaccesoredeagua,connivelsec,cestudiosuper,cal1,malacmateriales,superficie,densidad_p,palto,pmedioalto,pbajo,pmuybajo
298694,060352807,366,411,777,261,272,247,3.14574898785425,83297.7805981636,0,18.77,91.19,1.53,100,54.26,65.5445544554455,95.55,4.45,84307.27,92.17,45.54,9.82,39.29,5.36
298696,060352901,298,350,648,223,239,211,3.07109004739337,161298.153843343,0,68.92,91.93,1.79,100,56.98,63.6155606407323,93.84,6.16,163256.04,39.68,43.35,7.51,43.35,5.78
298699,060352905,342,384,726,254,285,240,3.025,72666.6317702532,0,55.51,94.49,4.33,100,51.9,64.0684410646388,95.83,4.17,73546.84,98.78,46.05,5.58,40.93,7.44
298707,060353003,429,479,908,301,320,277,3.27797833935018,86579.6177648306,0,72.67,85.71,1,99.67,52.22,59.0443686006826,95.31,4.69,87628.52,103.65,29.77,7.63,51.53,11.07
298709,060353005,373,425,798,262,298,261,3.05747126436782,118310.676833987,0,74.43,91.6,1.53,99.62,48.73,62.8623188405797,95.79,4.21,119743.45,66.67,49.79,6.33,40.08,3.8
298716,060353103,355,380,735,271,316,249,2.95180722891566,143211.201625317,0,95.94,97.79,1.11,100,56.42,69.0875232774674,98.8,1.2,144940.55,50.72,57.73,8.64,27.27,6.36
298721,060353107,203,243,446,152,172,149,2.99328859060403,44407.7443490028,0,76.67,90.13,1.97,100,53.21,60.2564102564103,97.32,2.68,44945.14,99.33,35.21,13.38,42.96,8.45
298722,060353108,338,384,722,251,299,241,2.99585062240664,71504.4784491956,0,12.75,93.23,1.2,99.6,52.41,68.0722891566265,96.27,3.73,72369.05,99.72,48.89,7.11,35.56,8.44
298735,060353304,402,411,813,289,328,284,2.86267605633803,134966.864399478,0,98.27,87.89,3.46,100,52.36,67.7137870855148,95.77,4.23,136598.3,59.52,52.33,6.98,32.95,7.75
298738,060353307,387,428,815,295,361,290,2.81034482758621,84508.7057747841,0,98.64,96.61,1.69,99.32,45.9,67.5774134790528,97.93,2.07,85528.67,95.32,51.03,8.22,33.9,6.85
294446,060351203,178,229,407,166,192,164,2.48170731707317,37732.8443162283,0,100,100,1.2,98.8,41.55,55.2816901408451,100,0,38189.82,106.54,50.33,11.76,34.64,3.27
294729,060353301,469,496,965,320,352,269,3.58736059479554,214006.450247109,0,92.19,71.56,5.94,99.38,47.41,64.8351648351648,85.13,14.87,216591.33,44.55,55.35,8.87,29.97,5.81
298326,060351212,261,297,558,218,271,217,2.57142857142857,66787.6054711342,0,100,99.54,0.92,100,38.72,69.2307692307692,100,0,67599.27,82.54,69.4,8.19,17.24,5.17
298379,060350102,811,837,1648,418,195,185,8.90810810810811,1019011.56956559,0.74,88.51,11.24,11,99.52,56,58.0645161290323,85.41,14.59,1031449.07,15.98,9.44,1.67,54.17,34.72
